"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-03-21 00:00:00","9015 W BURLEIGH ST, MILWAUKEE, WI, 53222-3631","Street Light Out","","Almost all street lights on burleigh from 90th to 85 are out for the last week."
"2025-03-21 00:00:00","221 N 66TH ST, MILWAUKEE, WI, 53213-4043","Missed Collection: Garbage","","Missed garbage collection for us and neighbor at 225 N 66th again."
"2025-03-21 00:00:00","2287 N LAKE DR, MILWAUKEE, WI, 53202-1250","Potholes","",""
"2025-03-21 00:00:00","2615 W CLEVELAND AV, MILWAUKEE, WI, 53215-2901","Damages to Sewers","2025-03-21 00:00:00","The concrete over the sewer hole is missing. I’m not really sure what happened because the previous tenant covered it with plywood and leaves. There is metal protruding from the hole and it’s large enough that a child could fall in easily. Thank you."
"2025-03-21 00:00:00","2615 W CLEVELAND AV, MILWAUKEE, WI, 53215-2901","Missed Collection: Recycling","2025-03-21 00:00:00","My garbage and recycling carts don't move And I don’t create a lot of recycling living here alone but now I have two full recycling cans. Could you please have them pick it up? I don’t know that I’m a regular stop since it’s not a necessity very often. Thank you."
"2025-03-21 00:00:00","4701 W WASHINGTON BL, 1, MILWAUKEE, WI, 53208-1725","Potholes","","Potholes coming off 175 freeway on Washington blvd when going left."
"2025-03-20 00:00:00","5053 W JACKSON PARK DR, MILWAUKEE, WI, 53219-3247","Area Dark","2025-03-20 00:00:00",""
"2025-03-20 00:00:00","4508 W SUMAC PL, MILWAUKEE, WI, 53219-2379","Area Dark","2025-03-20 00:00:00","Traditional and new LED lights are out in both directions for as far as I can see."
"2025-03-20 00:00:00","2357 N 20TH ST, MILWAUKEE, WI, 53206-1550","Scattered Litter and Debris on Private Property","2025-03-21 00:00:00","scattered debris"
"2025-03-20 00:00:00","2561 N 20TH ST, MILWAUKEE, WI, 53206-0000","Scattered Litter and Debris on Private Property","2025-03-21 00:00:00","scattered trash"
"2025-03-20 00:00:00","1936 N 29TH ST, MILWAUKEE, WI, 53208-1523","Garbage Cart: Additional","","Need another garbage can"
"2025-03-20 00:00:00","3520 N 80TH ST, MILWAUKEE, WI, 53222-2918","Street Light Out","2025-03-20 00:00:00",""
"2025-03-20 00:00:00","3157 N ARGONNE DR","Street Light Out","2025-03-20 00:00:00","9805 Argonne DR, street lights out"
"2025-03-20 00:00:00","Howell, MI, USA","Potholes","2025-03-20 00:00:00","Test hole on pedestrian crossing…"
"2025-03-20 00:00:00","3075 N LAKE DR, MILWAUKEE, WI, 53211-3403","Garbage Cart Collection Request: Cart Not at Collection Point","2025-03-21 00:00:00","caller states they forgot to bring cart out for collection"
"2025-03-20 00:00:00","3075 N LAKE DR, MILWAUKEE, WI, 53211-3403","Cart Billing Inquiry","2025-03-20 00:00:00","SFH. Has 4 GCarts. Verify City Carts. ed"
"2025-03-20 00:00:00","1229 N PROSPECT AV, MILWAUKEE, WI, 53202-3013","Missed Collection: Garbage","2025-03-21 00:00:00",""
"2025-03-20 00:00:00","2230 W EDGERTON AV, MILWAUKEE, WI, 53221-3531","Collection Schedule - Garbage and Recycling","","2 COPIES"
"2025-03-20 00:00:00","4452 N 85TH ST, MILWAUKEE, WI, 53225-5108","Sidewalk Repair","","CALLER STATES SIDEWALK IS ALL CRACKED UP"
"2025-03-20 00:00:00","2203 N TEUTONIA AV, MILWAUKEE, WI, 53205-1246","Potholes","2025-03-20 00:00:00","North bound on teutonia there’s a huge pothole"
"2025-03-19 00:00:00","2977 N 61ST ST, MILWAUKEE, WI, 53210-1406","Street Light Out","2025-03-19 00:00:00","2nd request. The light on the southwest corner of the intersection of 61st and chambers has been out for months. Also, the light on chambers in between 61st & 62nd streets has also been out for months. With a temporary round-a-bout here it’s very dangerous at night with half of the lights burned out."
"2025-03-19 00:00:00","2410 W MAPLE ST, MILWAUKEE, WI, 53204-3038","Garbage Cart: Damaged","","2- G Carts missing lids"
"2025-03-19 00:00:00","1223 N 23RD ST, MILWAUKEE, WI, 53205-0000","Furniture Discarded on Private Property","","PEOPLE ARE EMPTYING FURNITURE ON A EMPTY LOT"
"2025-03-19 00:00:00","2663 N WAHL AV, MILWAUKEE, WI, 53211-3827","Special Pickup: Construction Material, Less Than 2 Cubic Yards","2025-03-19 00:00:00","3 lawn bags of brush"
"2025-03-19 00:00:00","5401 N 72ND ST, MILWAUKEE, WI, 53218-2819","Potholes","","Multiple small potholes lining the middle of the road"
"2025-03-19 00:00:00","313 W BROWN ST, MILWAUKEE, WI, 53212-3624","Potholes","2025-03-20 00:00:00","W Brown St area"
"2025-03-19 00:00:00","101 W BROWN ST, MILWAUKEE, WI, 53212-0000","Potholes","2025-03-20 00:00:00","W Brown St area"
"2025-03-19 00:00:00","3271 N 88TH ST, MILWAUKEE, WI, 53222-3603","Collection Schedule - Garbage and Recycling","",""
"2025-03-19 00:00:00","2827 E OKLAHOMA AV, MILWAUKEE, WI, 53207-3047","Missed Collection: Recycling","2025-03-19 00:00:00","There are two Rcarts on site but one is still full.  5274294 shows collected 3/18."
"2025-03-19 00:00:00","3400 S 6th St, Milwaukee, WI 53215, USA","***FIELD USE ONLY*** Crew-Reported Pothole","2025-03-19 00:00:00",""
"2025-03-19 00:00:00","2700 W NORTH AV, MILWAUKEE, WI, 53208-1548","INFO ONLY: Miscellaneous Information Request","2025-03-19 00:00:00","Called in - Intersection 27th W. North Ave- Flashing red all directions"
